name,city,country,iata_code,_geoloc,links_count,objectID
Hartsfield Jackson Atlanta Intl,Atlanta,United States,ATL,"{'lat': 33.636719, 'lng': -84.428067}",1826,3682
Chicago Ohare Intl,Chicago,United States,ORD,"{'lat': 41.978603, 'lng': -87.904842}",1108,3830
Capital Intl,Beijing,China,PEK,"{'lat': 40.080111, 'lng': 116.584556}",1069,3364
Heathrow,London,United Kingdom,LHR,"{'lat': 51.4775, 'lng': -0.461389}",1051,507
Charles De Gaulle,Paris,France,CDG,"{'lat': 49.012779, 'lng': 2.55}",1041,1382
Los Angeles Intl,Los Angeles,United States,LAX,"{'lat': 33.942536, 'lng': -118.408075}",990,3484
Frankfurt Main,Frankfurt,Germany,FRA,"{'lat': 50.026421, 'lng': 8.543125}",990,340
Dallas Fort Worth Intl,Dallas-Fort Worth,United States,DFW,"{'lat': 32.896828, 'lng': -97.037997}",936,3670
John F Kennedy Intl,New York,United States,JFK,"{'lat': 40.639751, 'lng': -73.778925}",911,3797
Schiphol,Amsterdam,Netherlands,AMS,"{'lat': 52.308613, 'lng': 4.763889}",903,580
Pudong,Shanghai,China,PVG,"{'lat': 31.143378, 'lng': 121.805214}",825,3406
Changi Intl,Singapore,Singapore,SIN,"{'lat': 1.3501889999999999, 'lng': 103.994433}",820,3316
Barcelona,Barcelona,Spain,BCN,"{'lat': 41.297078, 'lng': 2.078464}",783,1218
Incheon Intl,Seoul,South Korea,ICN,"{'lat': 37.469075, 'lng': 126.450517}",740,3930
Denver Intl,Denver,United States,DEN,"{'lat': 39.861655999999996, 'lng': -104.673178}",735,3751
Miami Intl,Miami,United States,MIA,"{'lat': 25.79325, 'lng': -80.290556}",734,3576
Franz Josef Strauss,Munich,Germany,MUC,"{'lat': 48.353783, 'lng': 11.786086}",728,346
Ataturk,Istanbul,Turkey,IST,"{'lat': 40.976922, 'lng': 28.814606}",719,1701
Hong Kong Intl,Hong Kong,Hong Kong,HKG,"{'lat': 22.308919, 'lng': 113.914603}",710,3077
Dubai Intl,Dubai,United Arab Emirates,DXB,"{'lat': 25.252778, 'lng': 55.364444}",710,2188
Gatwick,London,United Kingdom,LGW,"{'lat': 51.148056, 'lng': -0.190278}",708,502
Baiyun Intl,Guangzhou,China,CAN,"{'lat': 23.392436, 'lng': 113.298786}",674,3370
Fiumicino,Rome,Italy,FCO,"{'lat': 41.804475, 'lng': 12.250797}",662,1555
Barajas,Madrid,Spain,MAD,"{'lat': 40.493556, 'lng': -3.566764}",661,1229
