name,location,date
3 Doors Down,"Sound Academy, Toronto, ON, Canada",2014-02-05 04:19:56.175
3 Doors Down,"The Drake Hotel, Toronto, ON, Canada",2008-01-01 08:01:55.916
3 Doors Down,"Majestic Ventura Theater, Los Angeles, CA, US",2011-05-06 23:59:43.471
3 Doors Down,"Electric Ballroom, London, UK",2016-06-13 22:45:52.566
3 Doors Down,"U Street Music Hall, Washington, DC, US",2008-03-20 22:46:14.059
3OH!3,"Le Batofar, Paris, France",2016-04-27 02:31:43.675
3OH!3,"Howard Theatre, Washington, DC, US",2014-08-09 23:08:04.924
3OH!3,"WiZink Center - Palacio de Deportes de la Comunidad de Madrid, Madrid, Spain",2018-03-14 20:00:37.722
3OH!3,"Button Factory, Dublin, Ireland",2008-02-04 15:03:54.913
3OH!3,"Vive Cuervo Salón, Mexico City, Mexico",2018-08-18 06:50:59.287
3OH!3,"La Fourmi, Limoges, France",2012-02-02 12:24:55.932
3OH!3,"Pianos, New York, NY, US",2011-07-24 17:06:50.591
3OH!3,"Qudos Bank Arena, Sydney, NSW, Australia",2015-08-06 23:44:47.373
3OH!3,"Forest National / Vorst Nationaal, Brussels, Belgium",2013-12-29 06:43:56.193
3OH!3,"Propaganda, Moscow, Russian Federation",2016-04-15 20:09:52.958
3OH!3,"Klub RE, Krakow, Poland",2018-04-18 06:10:30.782
3OH!3,"The Bell House, New York, NY, US",2011-09-01 14:47:06.271
3OH!3,"Brooklyn Bowl, New York, NY, US",2010-06-15 13:19:09.589
3OH!3,"Fremont Abbey Arts Center, Seattle, WA, US",2011-09-21 07:44:03.423
3OH!3,"Lido, Berlin, Germany",2014-04-15 21:22:23.236
3OH!3,"Patinoire Meriadeck, Bordeaux, France",2011-04-06 01:49:30.804
3OH!3,"Rivoli, Toronto, ON, Canada",2019-10-23 05:27:16.512
3OH!3,"Hamburger Börs, Stockholm, Sweden",2009-07-26 21:53:19.885
3OH!3,"X-TRA, Zürich, Switzerland",2010-09-06 03:59:00.142
3OH!3,"Muffathalle, Munich, Germany",2011-11-23 00:32:20.672
3OH!3,"Sound Academy, Toronto, ON, Canada",2015-02-23 00:51:05.767
4 Non Blondes,"The Tabernacle, Atlanta, GA, US",2010-06-16 11:13:40.148
4 Non Blondes,"El Lokal, Zürich, Switzerland",2010-08-12 20:42:24.932
4 Non Blondes,"3Arena, Dublin, Ireland",2015-12-02 02:40:10.834
4 Non Blondes,"Paramount Theatre, Oakland, CA, US",2019-08-17 13:29:50.758
4 Non Blondes,"Palace Theatre, Melbourne, VIC, Australia",2008-02-17 22:33:30.403
4 Non Blondes,"KOKO, London, UK",2013-12-28 22:25:35.496
4 Non Blondes,"La Fourmi, Limoges, France",2017-09-24 15:28:47.971
4 Non Blondes,"El Lokal, Zürich, Switzerland",2015-06-14 13:37:11.979
4 Non Blondes,"Sony Centre for the Performing Arts, Toronto, ON, Canada",2019-02-15 21:27:21.260
4 Non Blondes,"Eventim Apollo, London, UK",2015-02-24 17:45:38.529
4 Non Blondes,"Rock School Barbey, Bordeaux, France",2008-08-30 14:17:37.448
4 Non Blondes,"Constellation Room at the Observatory, Los Angeles, CA, US",2014-05-17 12:41:17.132
4 Non Blondes,"Royal Theatre Carré (Koninklijk Theater Carré), Amsterdam, Netherlands",2018-01-05 11:07:53.445
4 Non Blondes,"La Flèche d'Or, Paris, France",2017-02-22 00:07:16.494
4 Non Blondes,"NYCB Theatre at Westbury, New York, NY, US",2009-10-01 10:03:48.170
4 Non Blondes,"Sound Academy, Toronto, ON, Canada",2013-02-04 11:14:51.899
The 77s,"Black Cat, Washington, DC, US",2010-08-07 14:26:02.670
The 77s,"Init Roma, Rome, Italy",2016-05-19 06:47:46.817
The 77s,"The Windmill, Brixton, London, UK",2014-02-17 05:24:59.890
The 77s,"Bootleg, Bordeaux, France",2017-03-08 04:29:24.552
The 77s,"Paradiso Grote Zaal, Amsterdam, Netherlands",2009-03-27 02:24:12.946
The 77s,"Metro Theatre, Sydney, NSW, Australia",2014-07-09 03:24:56.752
The 77s,"Voila, Mexico City, Mexico",2012-01-20 11:04:31.797
The 77s,"NYCB Theatre at Westbury, New York, NY, US",2012-01-30 16:55:46.351
The 77s,"Palalottomatica, Rome, Italy",2012-07-17 19:26:17.323
The 77s,"Blidösunds Musik I Datumord., Stockholm, Sweden",2017-11-27 11:09:26.878
The 77s,"Troubadour, Los Angeles, CA, US",2012-03-12 21:25:43.298
The 77s,"Academy 2, Dublin, Ireland",2012-09-23 11:45:24.924
The 77s,"Wurlitzer Ballroom, Madrid, Spain",2011-06-29 00:43:23.717
The 77s,"The Roxy Theatre, Los Angeles, CA, US",2018-04-12 09:15:25.575
