name,team,points
Sun Yue,Lakers,6
Arron Afflalo,Rockets,724
Alexis Ajinca,Bobcats,10
LaMarcus Aldridge,Trailblazers,1393
Joe Alexander,Bulls,4
Malik Allen,Rockets,105
Ray Allen,Celtics,1304
Tony Allen,Celtics,330
Rafer Alston,Heat,165
Rafer Alston,Nets,262
Louis Amundson,Suns,371
Antonio Anderson,Thunder,2
Chris Andersen,Rockets,448
David Andersen,Rockets,367
Ryan Anderson,Magic,487
Carmelo Anthony,Rockets,1943
Joel Anthony,Heat,218
Gilbert Arenas,Wizards,722
Trevor Ariza,Rockets,1072
Hilton Armstrong,Rockets,10
Hilton Armstrong,Hornets,51
Hilton Armstrong,Kings,10
Carlos Arroyo,Heat,439
Ron Artest,Lakers,845
Darrell Arthur,Grizzlies,143
Chucky Atkins,Pistons,161
D.J. Augustin,Bobcats,508
Kelenna Azubuike,Warriors,125
Renaldo Balkman,Rockets,14
Marcus Banks,Raptors,109
Leandro Barbosa,Suns,418
Jose Barea,Mavericks,596
Andrea Bargnani,Raptors,1376
Matt Barnes,Magic,716
Earl Barron,Knicks,82
Brandon Bass,Magic,290
Shane Battier,Rockets,534
Tony Battie,Nets,36
Nicolas Batum,Trailblazers,375
Jerryd Bayless,Trailblazers,630
Michael Beasley,Heat,1156
Rodrigue Beaubois,Mavericks,397
Marco Belinelli,Raptors,469
Charlie Bell,Bucks,459
Raja Bell,Warriors,11
Raja Bell,Bobcats,60
Jonathan Bender,Knicks,118
Mike Bibby,Hawks,730
Andris Biedrins,Warriors,166
Chauncey Billups,Rockets,1427
DeJuan Blair,Spurs,638
Steve Blake,Trailblazers,388
Steve Blake,Clippers,198
Andray Blatche,Wizards,1143
Keith Bogans,Spurs,347
Andrew Bogut,Bucks,1095
Matt Bonner,Spurs,457
Josh Boone,Nets,253
Carlos Boozer,Jazz,1519
Chris Bosh,Raptors,1678
Ryan Bowen,Thunder,4
Earl Boykins,Wizards,440
Elton Brand,76ers,996
Corey Brewer,Timberwolves,1066
Ronnie Brewer,Grizzlies,10
Ronnie Brewer,Jazz,501
Primoz Brezec,Bucks,14
Primoz Brezec,76ers,5
Jon Brockman,Kings,147
Aaron Brooks,Rockets,1604
Bobby Brown,Clippers,70
Bobby Brown,Hornets,145
Devin Brown,Hornets,379
Devin Brown,Bulls,20
Derrick Brown,Bobcats,186
Kwame Brown,Pistons,157
Shannon Brown,Lakers,667
Kobe Bryant,Lakers,1970
Chase Budinger,Rockets,657
Caron Butler,Mavericks,410
Caron Butler,Wizards,796
Rasual Butler,Clippers,979
Andrew Bynum,Lakers,977
Will Bynum,Pistons,628
Jose Calderon,Raptors,699
Marcus Camby,Trailblazers,162
Marcus Camby,Clippers,394
Brian Cardinal,Timberwolves,48
Rodney Carney,76ers,319
DeMarre Carroll,Grizzlies,209
Matt Carroll,Mavericks,46
Anthony Carter,Rockets,180
Vince Carter,Magic,1244
Omri Casspi,Kings,792
Mario Chalmers,Heat,521
Tyson Chandler,Bobcats,333
Wilson Chandler,Knicks,993
Earl Clark,Suns,140
Darren Collison,Hornets,946
Jason Collins,Hawks,16
Jarron Collins,Suns,34
Mardy Collins,Clippers,111
Nick Collison,Thunder,439
Mike Conley,Grizzlies,959
Will Conroy,Rockets,6
Brian Cook,Rockets,21
Daequan Cook,Heat,223
Jamal Crawford,Hawks,1425
Dante Cunningham,Trailblazers,243
Eddy Curry,Knicks,26
JamesOn Curry,Clippers,0
Stephen Curry,Warriors,1399
Samuel Dalembert,76ers,667
Erick Dampier,Mavericks,328
Marquis Daniels,Celtics,288
Baron Davis,Clippers,1145
Glen Davis,Celtics,340
Paul Davis,Wizards,5
Ricky Davis,Clippers,158
Austin Daye,Pistons,349
Carlos Delfino,Bucks,825
Luol Deng,Bulls,1230
DeMar DeRozan,Raptors,662
Yakhouba Diawara,Heat,5
Boris Diaw,Bobcats,925
Travis Diener,Trailblazers,3
Travis Diener,Pacers,3
DeSagana Diop,Bobcats,32
Keyon Dooling,Nets,364
Joey Dorsey,Rockets,11
Joey Dorsey,Kings,12
Chris Douglas-Roberts,Nets,657
Toney Douglas,Knicks,481
Goran Dragic,Suns,635
Jared Dudley,Suns,674
Chris Duhon,Knicks,494
Tim Duncan,Spurs,1395
Mike Dunleavy,Pacers,666
Kevin Durant,Thunder,2472
Wayne Ellington,Timberwolves,505
